,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,0
15,0
16,3
17,4
18,0
19,0
20,0
21,18
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,2
39,3
40,4
41,5
42,5
43,3
44,7
45,6
46,12
47,18
48,30
49,31
50,47
51,56
52,63
53,65
54,75
55,65
56,79
57,89
58,101
59,119
60,84
61,94
62,126
63,127
64,119
65,154
66,133
67,136
68,159
69,153
70,145
71,183
72,186
73,186
74,196
75,176
76,167
77,184
78,147
79,191
80,213
81,200
82,207
83,229
84,208
85,181
86,163
87,175
88,182
89,191
90,224
91,241
92,235
93,254
94,228
95,195
96,184
97,203
98,205
99,208
100,225
101,249
102,207
103,210
104,212
105,190
106,198
107,190
108,227
109,242
110,217
111,216
112,187
113,202
114,186
115,204
116,213
117,202
118,222
119,230
120,201
121,202
122,222
123,183
124,228
125,221
126,217
127,225
128,236
129,197
130,242
131,215
132,210
133,200
134,246
135,203
136,222
137,239
138,225
139,227
140,238
141,220
142,227
143,255
144,229
145,258
146,231
147,227
148,243
149,249
150,208
151,216
152,232
153,206
154,233
155,234
156,215
157,246
158,234
159,273
160,270
161,267
162,261
163,298
164,319
165,287
166,304
167,258
168,274
169,293
170,295
171,262
172,297
173,283
174,221
175,246
176,242
177,301
178,245
179,263
180,275
181,254
182,258
183,267
184,258
185,286
186,290
187,267
188,279
189,243
190,228
191,277
192,227
193,257
194,249
195,257
196,272
197,298
198,280
199,243
200,273
201,232
202,254
203,285
204,252
205,256
206,256
207,256
208,289
209,242
210,276
211,285
212,286
213,275
214,307
215,278
216,271
217,263
218,261
219,251
220,260
221,283
222,290
223,267
224,268
225,260
226,297
227,287
228,293
229,272
230,291
231,253
232,298
233,295
234,260
235,262
236,247
237,253
238,280
239,299
240,245
241,288
242,290
243,280
244,283
245,274
246,284
247,266
248,259
249,254
250,271
251,291
252,308
253,272
254,280
255,279
256,238
257,267
258,265
259,299
260,262
261,262
262,301
263,283
264,273
265,271
266,276
267,283
268,258
269,254
270,286
271,260
272,278
273,247
274,267
275,247
276,274
277,292
278,298
279,270
280,292
281,287
282,291
283,286
284,275
285,288
286,265
287,242
288,250
289,269
290,279
291,280
292,272
293,261
294,268
295,324
296,274
297,242
298,222
299,271
300,246
301,270
302,281
303,267
304,261
305,266
306,237
307,242
308,248
309,236
310,256
311,237
312,218
313,244
314,228
315,237
316,244
317,235
318,206
319,224
320,209
321,245
322,206
323,238
324,250
325,220
326,237
327,260
328,234
329,237
330,213
331,209
332,222
333,234
334,228
335,215
336,202
337,234
338,222
339,229
340,254
341,236
342,223
343,241
344,219
345,233
346,208
347,270
348,240
349,226
350,223
351,224
352,219
353,236
354,217
355,221
356,224
357,204
358,207
359,229
360,256
361,208
362,221
363,240
364,233
365,187
366,236
367,217
368,210
369,216
370,225
371,232
372,252
373,209
374,190
375,210
376,228
377,234
378,224
379,206
380,223
381,216
382,210
383,195
384,197
385,201
386,216
387,188
388,217
389,202
390,199
391,198
392,182
393,193
394,196
395,177
396,193
397,212
398,185
399,182
400,196
401,202
402,175
403,199
404,171
405,180
406,175
407,174
408,160
409,158
410,174
411,168
412,154
413,183
414,149
415,167
416,154
417,162
418,148
419,167
420,169
421,145
422,164
423,146
424,156
425,170
426,150
427,154
428,177
429,155
430,144
431,158
432,143
433,145
434,157
435,157
436,140
437,146
438,137
439,149
440,134
441,152
442,120
443,136
444,139
445,130
446,128
447,151
448,119
449,136
450,132
451,121
452,117
453,134
454,113
455,125
456,105
457,98
458,130
459,129
460,116
461,153
462,127
463,120
464,130
465,128
466,102
467,96
468,117
469,93
470,108
471,113
472,127
473,102
474,106
475,110
476,87
477,96
478,110
479,113
480,94
481,101
482,79
483,98
484,95
485,107
486,93
487,88
488,95
489,93
490,98
491,70
492,80
493,106
494,76
495,91
496,81
497,81
498,67
499,98
500,75
501,69
502,69
503,94
504,87
505,66
506,74
507,60
508,70
509,69
510,80
511,75
512,84
513,79
514,76
515,76
516,89
517,76
518,78
519,73
520,78
521,79
522,80
523,75
524,84
525,65
526,71
527,60
528,71
529,84
530,62
531,70
532,52
