,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,3
8,2
9,6
10,6
11,5
12,8
13,5
14,3
15,2
16,2
17,1
18,3
19,3
20,0
21,2
22,0
23,4
24,1
25,1
26,1
27,1
28,4
29,2
30,0
31,2
32,3
33,4
34,3
35,2
36,2
37,2
38,1
39,4
40,14
41,3
42,6
43,7
44,7
45,7
46,11
47,17
48,15
49,25
50,30
51,41
52,62
53,56
54,64
55,71
56,70
57,83
58,81
59,92
60,108
61,116
62,151
63,175
64,164
65,168
66,169
67,163
68,159
69,181
70,183
71,193
72,187
73,169
74,217
75,166
76,210
77,176
78,184
79,156
80,199
81,199
82,189
83,184
84,164
85,230
86,188
87,219
88,218
89,173
90,194
91,167
92,191
93,143
94,176
95,167
96,198
97,188
98,209
99,174
100,176
101,201
102,168
103,181
104,176
105,164
106,170
107,183
108,192
109,176
110,174
111,176
112,180
113,192
114,199
115,160
116,199
117,170
118,173
119,191
120,192
121,186
122,203
123,192
124,182
125,202
126,199
127,199
128,239
129,242
130,208
131,204
132,195
133,221
134,205
135,162
136,193
137,180
138,171
139,161
140,199
141,193
142,193
143,236
144,281
145,236
146,211
147,223
148,269
149,188
150,216
151,232
152,225
153,227
154,219
155,187
156,197
157,210
158,211
159,189
160,187
161,197
162,190
163,210
164,208
165,213
166,189
167,173
168,197
169,247
170,227
171,238
172,217
173,251
174,246
175,194
176,231
177,236
178,210
179,214
180,203
181,236
182,228
183,255
184,225
185,236
186,246
187,239
188,258
189,221
190,258
191,214
192,195
193,203
194,217
195,204
196,225
197,190
198,186
199,188
200,200
201,183
202,224
203,205
204,210
205,205
206,241
207,206
208,213
209,235
210,213
211,242
212,222
213,220
214,170
215,189
216,221
217,206
218,212
219,233
220,223
221,226
222,218
223,228
224,263
225,229
226,292
227,262
228,228
229,225
230,237
231,220
232,205
233,230
234,233
235,224
236,248
237,194
238,222
239,196
240,223
241,208
242,182
243,204
244,212
245,258
246,218
247,226
248,256
249,211
250,207
251,197
252,214
253,215
254,197
255,239
256,229
257,233
258,207
259,237
260,220
261,224
262,241
263,231
264,231
265,207
266,250
267,239
268,249
269,233
270,264
271,253
272,232
273,239
274,219
275,196
276,212
277,240
278,211
279,195
280,260
281,233
282,240
283,217
284,204
285,242
286,223
287,241
288,232
289,252
290,229
291,226
292,217
293,252
294,233
295,229
296,209
297,248
298,243
299,240
300,251
301,248
302,203
303,241
304,189
305,225
306,219
307,202
308,244
309,224
310,213
311,217
312,199
313,239
314,231
315,210
316,244
317,209
318,219
319,221
320,222
321,238
322,233
323,184
324,195
325,201
326,239
327,213
328,203
329,187
330,216
331,212
332,172
333,201
334,203
335,213
336,216
337,185
338,232
339,175
340,201
341,174
342,199
343,173
344,187
345,192
346,183
347,177
348,195
349,181
350,199
351,186
352,209
353,204
354,203
355,210
356,179
357,195
358,174
359,198
360,203
361,208
362,185
363,211
364,223
365,210
366,190
367,196
368,205
369,197
370,206
371,218
372,198
373,222
374,206
375,216
376,216
377,220
378,200
379,211
380,192
381,204
382,215
383,205
384,188
385,208
386,172
387,206
388,233
389,193
390,233
391,227
392,193
393,194
394,206
395,224
396,215
397,204
398,197
399,211
400,186
401,180
402,181
403,204
404,214
405,211
406,178
407,187
408,182
409,191
410,189
411,160
412,191
413,159
414,194
415,149
416,157
417,181
418,148
419,152
420,149
421,150
422,136
423,169
424,165
425,158
426,176
427,181
428,170
429,188
430,195
431,198
432,169
433,189
434,209
435,201
436,188
437,188
438,175
439,183
440,166
441,161
442,161
443,147
444,187
445,156
446,166
447,165
448,159
449,161
450,161
451,159
452,177
453,158
454,159
455,167
456,139
457,174
458,146
459,165
460,154
461,189
462,183
463,186
464,158
465,182
466,126
467,163
468,162
469,170
470,162
471,148
472,144
473,158
474,141
475,137
476,137
477,136
478,139
479,141
480,144
481,148
482,141
483,124
484,149
485,116
486,121
487,130
488,149
489,150
490,148
491,129
492,112
493,134
494,110
495,136
496,128
497,140
498,127
499,111
500,114
501,133
502,150
503,144
504,110
505,107
506,113
507,132
508,111
509,117
510,121
511,106
512,121
513,125
514,148
515,114
516,134
517,129
518,135
519,137
520,128
521,129
522,121
523,132
524,106
525,132
526,117
527,114
528,129
529,125
530,161
531,128
532,135
