,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,2
54,0
55,5
56,2
57,2
58,4
59,3
60,3
61,10
62,9
63,11
64,8
65,7
66,5
67,9
68,9
69,13
70,10
71,10
72,6
73,7
74,8
75,11
76,9
77,11
78,10
79,12
80,9
81,9
82,10
83,10
84,9
85,15
86,5
87,11
88,7
89,10
90,11
91,8
92,9
93,11
94,12
95,15
96,21
97,12
98,11
99,8
100,14
101,12
102,14
103,14
104,18
105,17
106,19
107,20
108,15
109,18
110,10
111,15
112,11
113,19
114,20
115,31
116,20
117,14
118,17
119,23
120,17
121,19
122,8
123,13
124,9
125,7
126,9
127,16
128,11
129,10
130,8
131,10
132,15
133,15
134,14
135,19
136,14
137,13
138,11
139,4
140,12
141,13
142,11
143,8
144,8
145,6
146,8
147,18
148,6
149,6
150,11
151,21
152,10
153,10
154,19
155,15
156,10
157,12
158,7
159,21
160,14
161,19
162,14
163,15
164,17
165,25
166,38
167,35
168,13
169,12
170,24
171,22
172,32
173,26
174,15
175,17
176,12
177,13
178,13
179,15
180,17
181,18
182,11
183,9
184,17
185,22
186,19
187,17
188,11
189,15
190,10
191,9
192,12
193,12
194,11
195,8
196,7
197,17
198,11
199,11
200,5
201,15
202,14
203,8
204,6
205,11
206,16
207,11
208,18
209,18
210,24
211,13
212,21
213,18
214,18
215,15
216,11
217,21
218,22
219,17
220,21
221,24
222,17
223,22
224,12
225,18
226,24
227,16
228,19
229,15
230,13
231,16
232,9
233,28
234,22
235,16
236,16
237,17
238,17
239,12
240,15
241,24
242,11
243,9
244,11
245,11
246,15
247,18
248,9
249,8
250,9
251,8
252,10
253,13
254,14
255,11
256,12
257,8
258,17
259,12
260,12
261,7
262,19
263,14
264,4
265,12
266,10
267,6
268,13
269,15
270,12
271,6
272,9
273,23
274,16
275,15
276,16
277,20
278,16
279,17
280,12
281,11
282,8
283,17
284,17
285,14
286,17
287,25
288,15
289,11
290,14
291,17
292,15
293,13
294,11
295,18
296,14
297,15
298,9
299,15
300,13
301,9
302,9
303,15
304,18
305,10
306,10
307,14
308,12
309,12
310,12
311,18
312,10
313,13
314,12
315,12
316,16
317,12
318,17
319,12
320,21
321,18
322,14
323,11
324,15
325,12
326,11
327,12
328,11
329,10
330,14
331,14
332,8
333,9
334,8
335,7
336,9
337,16
338,14
339,10
340,3
341,7
342,8
343,7
344,14
345,12
346,13
347,8
348,12
349,12
350,4
351,7
352,8
353,12
354,6
355,7
356,8
357,12
358,13
359,8
360,9
361,8
362,10
363,7
364,5
365,12
366,8
367,7
368,13
369,15
370,13
371,11
372,10
373,9
374,10
375,14
376,12
377,17
378,12
379,8
380,10
381,16
382,14
383,19
384,12
385,17
386,13
387,19
388,12
389,9
390,7
391,18
392,14
393,9
394,12
395,9
396,9
397,9
398,8
399,5
400,7
401,12
402,12
403,3
404,7
405,4
406,10
407,10
408,4
409,9
410,6
411,4
412,12
413,8
414,5
415,5
416,8
417,3
418,7
419,7
420,4
421,12
422,7
423,5
424,3
425,3
426,7
427,4
428,6
429,6
430,6
431,8
432,4
433,6
434,4
435,6
436,5
437,8
438,4
439,2
440,8
441,4
442,4
443,5
444,8
445,5
446,4
447,6
448,3
449,1
450,7
451,7
452,7
453,6
454,11
455,2
456,0
457,7
458,4
459,7
460,4
461,12
462,7
463,2
464,5
465,1
466,5
467,4
468,3
469,6
470,8
471,5
472,6
473,12
474,7
475,10
476,10
477,12
478,7
479,2
480,3
481,3
482,4
483,5
484,6
485,2
486,5
487,4
488,5
489,4
490,2
491,3
492,6
493,5
494,2
495,3
496,6
497,3
498,5
499,6
500,3
501,5
502,6
503,5
504,5
505,2
506,9
507,8
508,10
509,4
510,8
511,6
512,5
513,4
514,5
515,5
516,5
517,2
518,2
519,5
520,1
521,4
522,1
523,1
524,3
525,0
526,2
527,2
528,1
529,2
530,2
531,2
532,6
